Stock,Transaction Date,Buy/Sell,Type,Amount,Senator
USG,2016-03-02,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
USG,2016-03-02,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
CAB,2016-03-01,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
HYH,2016-02-29,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
GM,2016-02-26,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
WFC,2016-02-25,Purchase,Stock,"$15,001 - $50,000","David a Perdue , jr"
MA,2016-02-25,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
AXP,2016-02-25,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
AAPL,2016-02-25,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
ADT,2016-02-23,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
WFM,2016-02-23,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
AAPL,2016-02-23,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
ETP,2016-02-22,Purchase,Stock,"$15,001 - $50,000","David a Perdue , jr"
ETP,2016-02-22,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
GE,2016-02-22,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
ADT,2016-02-19,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
GE,2016-02-19,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
GE,2016-02-19,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
ADT,2016-02-18,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
EPD,2016-02-17,Purchase,Stock,"$15,001 - $50,000","David a Perdue , jr"
SYY,2016-02-17,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
ADT,2016-02-17,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
MOS,2016-02-17,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
LYV,2016-02-17,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
ADT,2016-02-17,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
LYV,2016-02-17,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
CHRW,2016-02-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
AAPL,2016-02-16,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
AAPL,2016-02-16,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
ADT,2016-02-16,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
MSFT,2016-02-12,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
KN,2016-02-12,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
AAPL,2016-02-12,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
MSFT,2016-02-12,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
GE,2016-02-12,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
WFM,2016-02-11,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
AAPL,2016-02-11,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
MSFT,2016-02-11,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
MSFT,2016-02-11,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
MSFT,2016-02-10,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
MSFT,2016-02-10,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2016-02-10,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
LYV,2016-02-09,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
HYH,2016-02-09,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
MSFT,2016-02-09,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
WMB,2016-02-08,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
WMB,2016-02-08,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
ETE,2016-02-08,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
ORCL,2016-02-05,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
FOXA,2016-02-05,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
HYH,2016-02-05,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2016-02-05,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PKI,2016-02-04,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
HYH,2016-02-04,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
AAPL,2016-02-03,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
MSFT,2016-02-03,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
HYH,2016-02-03,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
ADT,2016-02-02,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
ADT,2016-02-02,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2016-02-02,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
EPD,2016-02-01,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
PKI,2016-02-01,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
AAPL,2016-02-01,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2016-02-01,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
T,2019-08-26,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
T,2019-08-26,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
T,2019-08-22,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
ENTG,2019-08-21,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
ENTG,2019-08-19,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
CZR,2019-08-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
CZR,2019-08-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
GPK,2019-08-15,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
ENTG,2019-08-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
M,2019-08-15,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
BMY,2019-08-15,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
GPK,2019-08-14,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
GPK,2019-08-14,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
EXR,2019-08-13,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
